DefaultBranch,count
master,24360
develop,645
main,551
dev,212
gh-pages,187
development,81
5.x,53
next,42
trunk,26
devel,24
rm,20
2.x,18
v2,16
3.x,16
release,15
stable,14
latest,13
2.0,13
1.x,11
v3,9
unstable,9
canary,8
v1,7
staging,7
3.0,7
v4,5
8.x,5
4.x,5
4.1,5
v2.0,4
v1.x,4
6.x,4
2.0.x,4
v5,3
moved,3
mainline,3
dev-2.x,3
deprecated,3
current,3
branch-0.17,3
beta,3
archive,3
alpha,3
4.4,3
v6,2
v5.0,2
v3.0,2
v2.x,2
v2.1,2
v1.0.0,2
upm,2
support,2
student,2
stable-7,2
site,2
public,2
noetic-devel,2
"maѕter",2
lib,2
develop-3.0,2
core,2
androidx-master-dev,2
android-9.0,2
Development,2
9.x,2
9.0,2
7.0,2
6.0,2
3.8,2
3.7,2
2020,2
2.4,2
2.3,2
2.1,2
10.x,2
1.2.x,2
1.10.x,2
"自由浏览-3.2.5",1
zh-hans,1
xd_dev,1
wydomain2,1
wordpress,1
windows,1
wildfirechat,1
webscalesql-5.6.27,1
wasm,1
vxp,1
vs2015,1
version-5,1
vNext,1
v9.x,1
v9,1
v8/contrib,1
v8.x,1
v6.8.4-strapdata,1
v5.x-zookeeper,1
v5.5,1
v5-master,1
v5-main,1
v3/master,1
v3.6.0,1
v3.5.0,1
v3.3/dev,1
v2.4.x,1
v2.0.15,1
v2-unstable,1
v2-master,1
v2-main,1
v2-dev,1
v10,1
v1.6,1
v1.17,1
v1.13.0-dev,1
v1.0,1
v1-dev,1
v0.6,1
v0.3.2-release,1
v0.10.x,1
user.js,1
unified,1
uinverse,1
typescript,1
translation,1
titan10,1
the-future,1
tengine-lite,1
tbb_2020,1
swift_5,1
swift/4.0,1
swift/2.0,1
swift,1
sunshine_master,1
step2,1
stable-6.0,1
st3,1
smartisan-m-onestep_bigboom,1
single-machine,1
serverless,1
series/5.x,1
series/3.x,1
series/2.x,1
semver-1.x,1
segnet-cleaned,1
second-edition,1
sbt-0.13,1
rpi-5.4.y,1
rewrite,1
review,1
research,1
remote-version,1
released,1
release3.2,1
release/v1.8,1
release/os/4.7,1
release/next,1
release/legacy/2.0,1
release/4.1.x,1
release/3.x,1
release/3.6,1
release/3.0.0,1
release/2.x,1
release/1.8,1
release/0.4,1
release-v2,1
release-chef-11.10,1
release-branch.v7,1
release-2.0,1
refactoring,1
readme,1
rcore_tutorial_v3,1
raw,1
rails4,1
r3.0alpha,1
r1.0,1
py3,1
publisher-production,1
proton_5.13,1
production,1
portuguese-translation,1
php7,1
phantom-develop,1
patch-release,1
osc,1
orm,1
openssl,1
opencv3.2.0,1
opencore,1
open-source,1
open,1
onnx,1
o-mr1,1
nw49,1
no_openmdao,1
ng,1
newMain,1
new-theme,1
new,1
native,1
nagareyama,1
ms,1
mrtk_development,1
moved-to-apache,1
monorepo,1
mobx6,1
micro,1
mercury,1
mega,1
mdl-1.x,1
mdb.master,1
mb-pages,1
masterbs3,1
master_internet,1
master_focal,1
master-x,1
master-new,1
master-dev,1
master-MC1.7.10,1
master-2x,1
master-1.2.x,1
major,1
maint,1
main-branch,1
m,1
lua-5.1,1
live,1
lineage-17.1,1
latest-preview,1
laravel5.5,1
laravel-8-ongoing,1
kibana-ruby,1
jetty-10.0.x,1
jay,1
javafx,1
ipy-2.7-maint,1
info,1
https/github.com/MyCATApache/Mycat-Server/tree/Mycat-server-1.6.76-test,1
home,1
gpg,1
gitlab_mirror,1
ghc-8.6,1
gh_pages,1
general-devel,1
gdwlroots-xwayland,1
gaps-next,1
future,1
fsharp,1
freeze,1
features/4.2.0,1
feature/v4,1
feature/rx2,1
feat-vue3,1
fdd/main,1
fb-mysql-5.6.35,1
experimental,1
es6,1
english,1
eeeeeeeeeeeeeeeeeeeeeeee,1
doc-zh,1
disk-io,1
directwrite,1
development/v2.0,1
development/8.2,1
develop-6.0.x,1
dev6.0,1
dev/kiyoshi-kuromiya,1
dev/0.104,1
dev-v3,1
dev-v1.0-fluent-netcore,1
dev-permission,1
dev-g210,1
dev-1.5.0,1
dev-0.3,1
deprecation,1
defunct,1
data,1
crow,1
criu-dev,1
crankshaft-ng,1
classic,1
cdh6.3.0,1
card,1
c-r-pwa-0.6.0,1
bundlephobia,1
bundle-explorer,1
branch_libev,1
branch-3.1.0,1
branch-2.3,1
branch-0.4.2,1
bleeding-jumbo,1
bleeding,1
bleed,1
bilibili,1
bfgminer,1
banjin-dev,1
atspi,1
atmosphere-2.6.x,1
art,1
app,1
androidx,1
android-studio,1
algoxy,1
aiyprojects,1
acelan_softcenter_ui,1
_,1
X,1
WIP,1
V3/develop,1
V3,1
Stino-Dev,1
SqlSugar5,1
SlidesJS-3,1
ST3,1
RxJava2.x,1
Research-PDP7-Snapshot-Development,1
Release,1
README,1
RC_2_0,1
RB-2.3,1
Pv,1
Ov,1
OpenKE-PyTorch,1
NetHack-3.7,1
Master,1
MK3,1
MK2,1
L1-Prod,1
L05_5.7,1
K5.2,1
Hoxton,1
GLES2,1
Echarts3,1
Core,1
CEO,1
AIMA3e,1
9.5/bugfixes,1
9.2.x,1
8.0.x-1.12.2,1
8.0,1
7.x-master,1
7.x-3.x,1
6.0.0-post,1
6,1
5_1-new,1
5.7,1
5.1,1
5.0.0,1
5.0,1
4.x-dev,1
4.x-current,1
4.2,1
4.0,1
4-stable,1
3.6,1
3.4,1
3.3/master,1
3.3.x,1
3.3,1
3.1dev,1
3.1-LTS,1
3.1,1
3.0release,1
3.0.x,1
3.0.0,1
3.0-master,1
3,1
2nd-edition,1
2nd-ed,1
20_2,1
2020.2,1
2019.4LTS(2020.6.15),1
2.x.x,1
2.X,1
2.9.x,1
2.8.x,1
2.7.x,1
2.7,1
2.6.0,1
2.5,1
2.4-develop,1
2.3.x,1
2.2.x,1
2.16,1
2.13.x,1
2.11.x,1
2.1.x,1
2.1.7,1
2.0/develop,1
2.0.0,1
2.0-SNAPSHOT,1
19.07,1
14.0,1
13.1,1
12.x,1
10.6,1
1.x.x,1
1.8_release,1
1.8/master,1
1.8,1
1.6.x,1
1.4.x,1
1.4,1
1.3.x,1
1.2,1
1.16.x,1
1.12.x,1
1.10_release,1
1.1.x,1
1.0.3,1
1.0,1
1-6-stable,1
0.9.x,1
0.9,1
0.6-stable,1
0.50,1
0.5.x,1
0.3,1
0.14.x,1
0.1.x,1
0.0.1,1
